venta_id,cliente_id,producto_id,region_id,tiempo_id,cantidad,total_venta
1,1,9,1,1,3,2250
2,12,5,3,8,1,3100
3,12,6,1,3,3,5400
4,17,4,5,12,4,16800
5,10,10,2,10,2,1360
6,16,7,2,7,1,180
7,15,9,2,10,7,5250
8,15,7,3,5,7,1260
9,19,1,5,10,6,87000
10,12,1,1,5,5,72500
11,20,9,4,7,4,3000
12,3,9,1,9,1,750
13,5,4,4,12,7,29400
14,19,9,1,5,5,3750
15,7,3,5,1,7,8400
16,9,7,4,10,1,180
17,7,6,3,10,3,5400
18,18,8,1,1,1,950
19,4,9,1,2,6,4500
20,14,5,4,6,1,3100
21,18,1,3,9,1,14500
22,9,3,3,8,6,7200
23,2,10,5,5,4,2720
24,20,8,3,1,1,950
25,15,6,3,7,6,10800
26,7,8,3,5,5,4750
27,12,9,2,6,3,2250
28,8,4,5,7,3,12600
29,15,1,1,3,1,14500
30,3,1,4,12,4,58000
31,14,10,1,10,4,2720
32,17,4,5,3,5,21000
33,4,7,4,5,1,180
34,18,2,5,6,3,1050
35,8,3,3,9,4,4800
36,4,1,4,12,1,14500
37,2,5,3,5,7,21700
38,6,1,1,1,4,58000
39,10,8,1,4,6,5700
40,4,1,4,5,7,101500
41,18,1,4,12,4,58000
42,12,2,5,10,3,1050
43,2,2,5,10,2,700
44,10,6,3,5,7,12600
45,4,7,4,7,5,900
46,14,5,1,4,5,15500
47,16,1,5,1,3,43500
48,15,1,5,5,4,58000
49,8,3,1,7,1,1200
50,14,2,5,10,4,1400
51,8,5,3,10,3,9300
52,16,10,4,6,5,3400
53,13,6,1,5,4,7200
54,18,7,4,4,5,900
55,15,4,5,2,7,29400
56,13,7,5,4,1,180
57,9,8,1,10,7,6650
58,15,1,3,10,5,72500
59,13,6,2,3,5,9000
60,1,8,1,10,2,1900
61,7,5,2,1,2,6200
62,9,4,2,8,7,29400
63,1,2,3,5,6,2100
64,12,6,2,4,7,12600
65,8,6,2,8,2,3600
66,11,1,3,7,5,72500
67,19,9,2,2,3,2250
68,17,6,2,1,7,12600
69,8,3,2,12,5,6000
70,3,4,1,11,3,12600
71,3,4,1,4,3,12600
72,1,3,1,8,2,2400
73,5,10,3,12,7,4760
74,10,3,5,2,4,4800
75,7,3,2,3,1,1200
76,9,4,2,12,2,8400
77,7,7,3,1,2,360
78,9,4,2,1,4,16800
79,8,9,1,3,1,750
80,12,1,5,11,5,72500
81,2,8,4,5,6,5700
82,1,7,2,12,7,1260
83,16,2,1,3,6,2100
84,5,8,4,1,5,4750
85,3,1,5,1,2,29000
86,12,9,4,8,1,750
87,8,9,1,10,2,1500
88,3,2,4,11,3,1050
89,1,7,3,12,2,360
90,3,10,4,12,2,1360
91,5,3,2,2,5,6000
92,15,7,2,3,5,900
93,14,10,3,2,5,3400
94,3,9,1,3,6,4500
95,1,4,2,7,3,12600
96,5,1,5,1,5,72500
97,14,2,2,10,1,350
98,7,1,2,8,6,87000
99,9,5,1,10,4,12400
100,15,5,4,10,1,3100
101,15,7,2,10,7,1260
102,10,9,3,2,7,5250
103,13,9,4,3,1,750
104,19,3,5,9,5,6000
105,7,3,1,7,4,4800
106,17,3,5,4,4,4800
107,20,4,4,10,6,25200
108,4,8,4,5,4,3800
109,5,6,4,2,7,12600
110,7,8,5,11,3,2850
111,13,1,4,8,5,72500
112,15,8,5,4,4,3800
113,11,4,4,9,6,25200
114,4,1,3,5,7,101500
115,13,8,4,9,3,2850
116,7,4,5,4,2,8400
117,19,6,2,10,2,3600
118,2,8,4,5,3,2850
119,10,4,2,9,7,29400
120,13,3,3,8,6,7200
